h_over_b,spine_lift_fraction,e,e_over_e_free
0.3,0.0,1.3014526539767182,0.9999996805137683
0.3,0.05,1.290178461238965,0.9913369073415332
0.3,0.1,1.2577534871068854,0.9664224675625146
0.3,0.15,1.2072664928515051,0.9276296786191652
0.3,0.2,1.1430738849673907,0.8783058809540614
0.3,0.3,0.9923890110364202,0.7625238543633933
0.3,0.4,0.8378197362085326,0.6437571631796374
0.5,0.0,1.5011933077571489,0.999999839532577
0.5,0.05,1.4835189779071387,0.9882263211438878
0.5,0.1,1.4331462411444613,0.9546711964179766
0.5,0.15,1.3564574976448969,0.9035860158504614
0.5,0.2,1.261957604339037,0.8406361761107063
0.5,0.3,1.052521696622115,0.701123247944121
0.5,0.4,0.8541138576724134,0.5689565202572402
